Dataset,Technique,Application,Test_Data,Task_ID,Model,ChatGPT_Reponse_Time,Execution_Time,Accuracy,Precision,Recall,F1_Score,Exact_Match
BIG Bench,CoT,Function,Test Data 2,213,Model 1,5.88,0.03719,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 3,213,Model 1,5.88,0.01627,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 1,213,Model 2,6.19,0.02283,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 2,213,Model 2,6.19,0.02825,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 3,213,Model 2,6.19,0.00859,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 1,213,Model 3,4.96,0.00674,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 2,213,Model 3,4.96,0.00628,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Function,Test Data 3,213,Model 3,4.96,0.0058,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 1,114,Model 1,4.1,0,0.75,1.00,0.75,0.86,0.00
BIG Bench,CoT,Snippet,Test Data 2,114,Model 1,4.1,0,0.67,1.00,0.67,0.80,0.00
BIG Bench,CoT,Snippet,Test Data 3,114,Model 1,4.1,0.0009984970093,0.80,1.00,0.80,0.89,0.00
BIG Bench,CoT,Snippet,Test Data 1,114,Model 2,4.33,0,0.75,1.00,0.75,0.86,0.00
BIG Bench,CoT,Snippet,Test Data 2,114,Model 2,4.33,0.0009987354279,0.67,1.00,0.67,0.80,0.00
BIG Bench,CoT,Snippet,Test Data 3,114,Model 2,4.33,0,0.80,1.00,0.80,0.89,0.00
BIG Bench,CoT,Snippet,Test Data 1,114,Model 3,5.03,0,0.75,1.00,0.75,0.86,0.00
BIG Bench,CoT,Snippet,Test Data 2,114,Model 3,5.03,0.0009965896606,0.67,1.00,0.67,0.80,0.00
BIG Bench,CoT,Snippet,Test Data 3,114,Model 3,5.03,0.007537126541,0.80,1.00,0.80,0.89,0.00
BIG Bench,CoT,Snippet,Test Data 1,233,Model 1,5.69,0.0009956359863,0.50,1.00,0.80,0.89,0.00
BIG Bench,CoT,Snippet,Test Data 2,233,Model 1,5.69,0,0.22,1.00,1.00,1.00,0.00
BIG Bench,CoT,Snippet,Test Data 3,233,Model 1,5.69,0,0.20,1.00,1.00,1.00,0.00
BIG Bench,CoT,Snippet,Test Data 1,233,Model 2,5.6,0.01546835899,0.50,1.00,0.80,0.89,0.00
BIG Bench,CoT,Snippet,Test Data 2,233,Model 2,5.6,0,0.22,1.00,1.00,1.00,0.00
BIG Bench,CoT,Snippet,Test Data 3,233,Model 2,5.6,0,0.20,1.00,1.00,1.00,0.00
BIG Bench,CoT,Snippet,Test Data 1,233,Model 3,4.91,0,0.50,1.00,0.80,0.89,0.00
BIG Bench,CoT,Snippet,Test Data 2,233,Model 3,4.91,0,0.22,1.00,1.00,1.00,0.00
BIG Bench,CoT,Snippet,Test Data 3,233,Model 3,4.91,0.001033782959,0.20,1.00,1.00,1.00,0.00
BIG Bench,CoT,Snippet,Test Data 1,31,Model 1,5.4,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 2,31,Model 1,5.4,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,31,Model 1,5.4,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 1,31,Model 2,3.97,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 2,31,Model 2,3.97,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,31,Model 2,3.97,73.4810288,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 1,31,Model 3,3.8,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 2,31,Model 3,3.8,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,31,Model 3,3.8,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 1,184,Model 1,4.75,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 2,184,Model 1,4.75,0.001008749008,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 3,184,Model 1,4.75,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 1,184,Model 2,4.4,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 2,184,Model 2,4.4,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 3,184,Model 2,4.4,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 1,184,Model 3,4.99,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 2,184,Model 3,4.99,0.001024723053,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 3,184,Model 3,4.99,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 1,14,Model 1,5.69,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 2,14,Model 1,5.69,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,14,Model 1,5.69,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 1,14,Model 2,4.44,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 2,14,Model 2,4.44,0.001026391983,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,14,Model 2,4.44,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 1,14,Model 3,4.57,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 2,14,Model 3,4.57,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,14,Model 3,4.57,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 1,69,Model 1,5.3,0.01565361023,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 2,69,Model 1,5.3,0.0009980201721,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,69,Model 1,5.3,0.001994371414,0.36,0.83,0.63,0.71,0.00
BIG Bench,CoT,Snippet,Test Data 1,69,Model 2,4.76,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 2,69,Model 2,4.76,0.003589630127,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,69,Model 2,4.76,0,0.36,0.83,0.63,0.71,0.00
BIG Bench,CoT,Snippet,Test Data 1,69,Model 3,4.22,0.0009989738464,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 2,69,Model 3,4.22,0.0009965896606,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,69,Model 3,4.22,0.0009958744049,0.36,0.83,0.63,0.71,0.00
BIG Bench,CoT,Snippet,Test Data 1,213,Model 1,5.23,0.0009973049164,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 2,213,Model 1,5.23,0.0009982585907,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,213,Model 1,5.23,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 1,213,Model 2,5.77,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 2,213,Model 2,5.77,0.0009989738464,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,213,Model 2,5.77,0,0.00,0.00,0.00,0.00,0.00
BIG Bench,CoT,Snippet,Test Data 1,213,Model 3,5.92,0,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 2,213,Model 3,5.92,0.001024484634,1.00,1.00,1.00,1.00,1.00
BIG Bench,CoT,Snippet,Test Data 3,213,Model 3,5.92,0,0.00,0.00,0.00,0.00,0.00
MBPP,CoT,Snippet,Test Data 1,11,Model 1,10.5,0.001,1.00,1.00,1.00,1.00,1.00
MBPP,CoT,Snippet,Test Data 2,11,Model 1,10.5,0.001,1.00,1.00,1.00,1.00,1.00
MBPP,CoT,Snippet,Test Data 3,11,Model 1,10.5,0.001,1.00,1.00,1.00,1.00,1.00
MBPP,CoT,Snippet,Test Data 1,11,Model 2,8.58,0.00099,1.00,1.00,1.00,1.00,1.00
MBPP,CoT,Snippet,Test Data 2,11,Model 2,8.58,0,1.00,1.00,1.00,1.00,1.00
MBPP,CoT,Snippet,Test Data 3,11,Model 2,8.58,0.001,1.00,1.00,1.00,1.00,1.00
MBPP,CoT,Snippet,Test Data 1,11,Model 3,11.51,0.001,1.00,1.00,1.00,1.00,1.00
MBPP,CoT,Snippet,Test Data 2,11,Model 3,11.51,0,1.00,1.00,1.00,1.00,1.00
MBPP,CoT,Snippet,Test Data 3,11,Model 3,11.51,0.001,1.00,1.00,1.00,1.00,1.00
MBPP,CoT,Snippet,Test Data 1,57,Model 1,6.64,0,1.00,1.00,1.00,1.00,1.00
